כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
בת חן 58,121,07/08/2012,"1,820,000 ₪",11193-290-2,דירה בבית קומות,5,"קרקע, ראשונה",2000,"18,182 ₪",3
בת חן 58,121,09/07/2001,"970,000 ₪",11193-290-2,דירה בבית קומות,5,"קרקע, ראשונה",2000,"18,182 ₪",3
דוכיפת 14,133.55,10/02/2021,"2,033,000 ₪",11193-297-10,דירה בבית קומות,5,שלישית ורביעית,2002,"15,223 ₪",3
בת חן 22,126.38,17/01/2021,"2,255,000 ₪",11193-269-2,דירה בבית קומות,5,קרקע+ראשונה,2000,"17,897 ₪",2
בת חן 22,126.38,17/01/2001,"1,172,000 ₪",11193-269-2,דירה בבית קומות,5,קרקע+ראשונה,2000,"17,897 ₪",2
בת חן 44,66.59,13/01/2021,"896,000 ₪",11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,13/12/1998,"769,000 ₪",11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,13/01/2021,חלק נמכר,11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,מחיר,1,11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,10%,"89,600 ₪",11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,2,10%,11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,"89,600 ₪",3,11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
בת חן 44,66.59,80%,"716,800 ₪",11193-282-6,דירה בבית קומות,3,שלישית,1999,"13,576 ₪",4
דוכיפת 2,80.1,07/01/2021,"925,000 ₪",11193-291-5,דירה בבית קומות,4,שניה,2002,"11,562 ₪",3
דוכיפת 2,80.1,11/04/2006,"1,140,000 ₪",11193-291-5,דירה בבית קומות,4,שניה,2002,"11,562 ₪",3
בת חן 26,127.34,03/01/2021,"2,015,000 ₪",11193-271-7,דירה בבית קומות,5,"רביעית, חמישית",2001,"15,866 ₪",4
בת חן 26,127.34,04/07/2010,"1,766,000 ₪",11193-271-7,דירה בבית קומות,5,"רביעית, חמישית",2001,"15,866 ₪",4
