כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
גאולי תימן 10,122.92,19/06/2013,"1,950,000 ₪",10792-214-4,דירה בבית קומות,5,קרקע ראשונה שניה ושלישית,1970,"15,864 ₪",2
אלברט שוויצר 52,130,18/06/2013,"2,419,000 ₪",10792-150-3,דירה בבית קומות,5,לא ידוע,1990,"18,608 ₪",1
אלברט שוויצר 52,160,30/05/2013,"2,291,000 ₪",10792-150-2,דירה בבית קומות,5,לא ידוע,1990,"14,319 ₪",1
פרויד 39,86.87,22/05/2013,"1,455,000 ₪",10785-53-3,דירה בבית קומות,4,שלישית,2009,"16,749 ₪",4
פרויד 38,95.2,12/05/2013,"1,680,000 ₪",10785-44-3,דירה בבית קומות,4,קרקע,1970,"17,684 ₪",3
פרויד 38,95.2,07/12/2009,"950,000 ₪",10785-44-3,דירה בבית קומות,4,קרקע,1970,"17,684 ₪",3
אלברט שוויצר 7,118,08/05/2013,"2,049,000 ₪",10794-107-2,דירה בבית קומות,4,"ראשונה, שניה",1991,"17,364 ₪",3
גאולי תימן 10,231.68,06/05/2013,"2,500,000 ₪",10792-214-3,דירה בבית קומות,6,קרקע ראשונה שניה ושלישית,1970,"10,791 ₪",2
אלברט שוויצר 54,120,05/05/2013,"2,115,000 ₪",10792-151-5,דירה בבית קומות,6,ראשונה,1987,"17,625 ₪",2
ראול ולנברג 15,103.3,25/04/2013,"1,879,000 ₪",10794-141-12,דירה בבית קומות,5,קרקע,1990,"18,190 ₪",2
ראול ולנברג 20,115.65,25/04/2013,"1,730,000 ₪",10794-135-1,דירה בבית קומות,5,קרקע וראשונה,1987,"14,959 ₪",4
ראול ולנברג 42,167,24/04/2013,"1,890,000 ₪",10788-29-1,דירה בבית קומות,6,קרקע ראשונה ושניה,1990,"11,317 ₪",5
מארק שאגאל 9,114.72,17/04/2013,"1,740,000 ₪",10794-88-2,דירה בבית קומות,5,ראשונה,1990,"15,167 ₪",4
ללא כתובת,130,20/03/2013,"1,140,000 ₪",10794-15-5,דירה בבית קומות,4,שמינית,0,"8,769 ₪",0
ראול ולנברג 37,170,03/03/2013,"2,500,000 ₪",10792-169-1,דירה בבית קומות,6,ראשונה,1989,"14,706 ₪",1
מארק שאגאל 9,114.53,31/01/2013,"1,800,000 ₪",10794-88-6,דירה בבית קומות,5,ראשונה,1990,"15,716 ₪",4
מארק שאגאל 15,140.16,21/01/2013,"2,337,000 ₪",10794-91-1,דירה בבית קומות,5,קרקע וראשונה,1989,"16,674 ₪",3
