כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
פאר 79,73.08,05/09/2022,"820,000 ₪",11720-52-6,דירה בבית קומות,3,רביעית,1970,"11,221 ₪",5
פאר 27,62,30/08/2022,"1,190,000 ₪",12483-23-8,דירה בבית קומות,3,ראשונה,2020,"19,194 ₪",2
יוסף וינר 15,50.25,29/08/2022,"675,000 ₪",12494-27-1,דירה בבית קומות,3,ראשונה,1970,"13,500 ₪",8
יוסף וינר 15,50.25,06/06/2018,"450,000 ₪",12494-27-1,דירה בבית קומות,3,ראשונה,1970,"13,500 ₪",8
יוסף וינר 15,50.25,21/01/2013,"320,000 ₪",12494-27-1,דירה בבית קומות,3,ראשונה,1970,"13,500 ₪",8
פאר 8,44.83,29/08/2022,"660,000 ₪",12494-23-2,דירה בבית קומות,2,קרקע,1970,"15,000 ₪",3
פאר 8,44.83,02/11/2012,"360,000 ₪",12494-23-2,דירה בבית קומות,2,קרקע,1970,"15,000 ₪",3
פאר 8,44.83,01/02/2010,"195,000 ₪",12494-23-2,דירה בבית קומות,2,קרקע,1970,"15,000 ₪",3
פאר 10,41.35,29/08/2022,"680,000 ₪",12494-22-4,דירה בבית קומות,2.5,ראשונה,1970,"16,445 ₪",3
פאר 50,44.83,28/08/2022,"725,000 ₪",11720-32-6,דירה בבית קומות,2,שניה,1960,"16,172 ₪",3
פאר 6,68.6,22/08/2022,"757,000 ₪",12494-18-6,דירה בבית קומות,4,שניה,1970,"11,035 ₪",4
דוד רזיאל 67,52,21/08/2022,"72,000 ₪",12483-11-15,דירה בבית קומות,3,שלישית,1960,"1,385 ₪",3
יד לבנים 52,59.72,18/08/2022,"960,000 ₪",11720-2-28,דירה בבית קומות,3,ראשונה,1960,"16,271 ₪",5
יד לבנים 52,59.72,03/11/2017,"513,000 ₪",11720-2-28,דירה בבית קומות,3,ראשונה,1960,"16,271 ₪",5
יד לבנים 14,76,18/08/2022,"915,000 ₪",12485-11-4,דירה בבית קומות,3,ראשונה,1950,"12,039 ₪",3
יד לבנים 14,76,16/08/2012,"390,000 ₪",12485-11-4,דירה בבית קומות,3,ראשונה,1950,"12,039 ₪",3
פאר 27,60,15/08/2022,"960,000 ₪",12483-23-10,דירה בבית קומות,3,רביעית,2020,"16,000 ₪",2
דוד רזיאל 39,62,15/08/2022,"656,500 ₪",12486-14-9,דירה בבית קומות,2,ראשונה,1970,"10,589 ₪",4
יד לבנים 178,59.9,14/08/2022,"450,000 ₪",12496-10-39,דירה בבית קומות,3,חמישית,1970,"7,627 ₪",9
יד לבנים 178,59.9,19/08/2013,"480,000 ₪",12496-10-39,דירה בבית קומות,3,חמישית,1970,"7,627 ₪",9
יד לבנים 178,59.9,30/10/2005,"301,000 ₪",12496-10-39,דירה בבית קומות,3,חמישית,1970,"7,627 ₪",9
דוד רזיאל 24,37.5,10/08/2022,"730,000 ₪",12486-21-3,דירה בבית קומות,2,קרקע,1960,"19,467 ₪",4
דוד רזיאל 47,70.03,10/08/2022,"1,100,000 ₪",12484-13-1,דירה בבית קומות,3,קרקע,1940,"15,708 ₪",1
יד לבנים 158,87.11,09/08/2022,"1,064,800 ₪",11720-35-4,דירה בבית קומות,4,ראשונה,1970,"12,239 ₪",4
יד לבנים 158,87.11,מחיר,1,11720-35-4,דירה בבית קומות,4,ראשונה,1970,"12,239 ₪",4
