כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
יאיר שטרן 18,58.75,24/02/2023,"950,000 ₪",10802-129-17,דירה בבית קומות,3,שניה,1960,"16,170 ₪",7
גנרל קניג פייר 5,76.8,01/02/2023,"1,690,000 ₪",10906-301-69,דירה בבית קומות,3,רביעית,1998,"22,005 ₪",8
התורן 45,95.3,01/02/2023,"2,100,000 ₪",10906-11-4,דירה בבית קומות,4,שניה ושלישית,1997,"22,036 ₪",2
יוברט המפרי 13,1968,24/01/2023,"316,000 ₪",11673-12-0,קרקע למגורים,לא ידוע,לא ידוע,1960,161 ₪,0
התורן 15,128.45,19/01/2023,"1,770,000 ₪",10802-13-2,דירה בבית קומות,5,קרקע,1940,"13,780 ₪",1
יוברט המפרי 13,165,15/01/2023,"428,000 ₪",11673-12-1,ללא תיכנון,לא ידוע,לא ידוע,1960,"2,594 ₪",0
התורן 26,61.24,08/01/2023,"1,500,000 ₪",11672-17-14,דירה בבית קומות,3,שלישית,1950,"24,494 ₪",4
התורן 12,61.24,05/01/2023,"513,000 ₪",11672-21-3,דירה בבית קומות,2,שניה,1950,"8,377 ₪",4
התורן 14,61.24,05/12/2022,"1,610,000 ₪",11672-21-16,דירה בבית קומות,2,רביעית,1950,"26,290 ₪",4
יאיר שטרן 15,48.2,23/11/2022,"120,000 ₪",10802-160-22,דירה בבית קומות,2,שניה,1960,"2,500 ₪",4
יאיר שטרן 15,48.2,15/02/2022,"685,000 ₪",10802-160-22,דירה בבית קומות,2,שניה,1960,"2,500 ₪",4
העוגן 22,96,13/10/2022,"2,080,000 ₪",10802-18-8,דירה בבית קומות,4,שלישית,1970,"21,667 ₪",3
התורן 40,63.7,29/09/2022,"1,530,000 ₪",11672-12-13,דירה בבית קומות,3,שלישית,1960,"24,286 ₪",3
התורן 28,63.7,16/09/2022,"1,500,000 ₪",11672-16-6,דירה בבית קומות,3,שניה,1960,"23,548 ₪",3
גנרל קניג פייר 5,77.6,28/07/2022,"1,400,000 ₪",10906-301-74,דירה בבית קומות,4,חמישית,1998,"18,041 ₪",8
התורן 34,63.7,27/07/2022,"1,260,000 ₪",11672-14-7,דירה בבית קומות,3,שלישית,1950,"20,000 ₪",3
התורן 34,63.7,30/08/2020,"500,000 ₪",11672-14-7,דירה בבית קומות,3,שלישית,1950,"20,000 ₪",3
התורן 16,63.7,17/07/2022,"1,450,000 ₪",11672-20-8,דירה בבית קומות,3,שלישית,1950,"22,763 ₪",3
יאיר שטרן 25,59.7,10/07/2022,"945,000 ₪",10802-161-24,דירה בבית קומות,2.5,שניה,1960,"15,829 ₪",4
יאיר שטרן 15,59.3,03/07/2022,"1,000,000 ₪",10802-160-24,דירה בבית קומות,3,שניה,1960,"16,949 ₪",4
יאיר שטרן 15,59.3,05/10/2021,"960,000 ₪",10802-160-24,דירה בבית קומות,3,שניה,1960,"16,949 ₪",4
יאיר שטרן 15,59.3,07/02/2021,"800,000 ₪",10802-160-24,דירה בבית קומות,3,שניה,1960,"16,949 ₪",4
התורן 6,61.24,28/06/2022,"1,365,000 ₪",11672-25-10,דירה בבית קומות,3,ראשונה,1960,"22,289 ₪",4
העוגן 22,103.21,29/05/2022,"1,100,000 ₪",10802-25-3,דירה בבית קומות,3,שניה,1950,"10,680 ₪",2
העוגן 22,103.21,23/07/2004,"629,000 ₪",10802-25-3,דירה בבית קומות,3,שניה,1950,"10,680 ₪",2
התורן 24,61.24,17/05/2022,"1,200,000 ₪",11672-17-4,דירה בבית קומות,4,שניה,1950,"19,672 ₪",4
התורן 24,61.24,12/05/2019,"780,000 ₪",11672-17-4,דירה בבית קומות,4,שניה,1950,"19,672 ₪",4
התורן 24,61.24,10/09/2003,"342,000 ₪",11672-17-4,דירה בבית קומות,4,שניה,1950,"19,672 ₪",4
העוגן 41,100,13/05/2022,"900,000 ₪",10906-1-2,דירת גן,3,ראשונה,1943,"9,000 ₪",2
התורן 32,61.24,12/04/2022,"1,200,000 ₪",11672-15-12,דירה בבית קומות,3,שניה,1960,"19,672 ₪",4
התורן 36,61.24,06/04/2022,"925,000 ₪",11672-13-8,דירה בבית קומות,3,רביעית,1950,"15,105 ₪",4
יוברט המפרי 23,50,06/04/2022,"1,190,000 ₪",11673-7-5,דירה בבית קומות,2,ראשונה,2022,"23,800 ₪",0
יאיר שטרן 13,65,04/04/2022,"1,420,000 ₪",10802-159-26,דירה בבית קומות,3,ראשונה,1960,"21,846 ₪",4
